n,bubble,insertion,merge,quick,radix(only non-negative),stalin,heap,communizm
0,3.7666565428177515e-07,4.1666595886150994e-07,2.9666892563303313e-07,3.866676706820726e-07,2.9999840383728346e-07,2.9666892563303313e-07,4.0666782297194004e-07,6.699992809444666e-07
1,4.4333282858133314e-07,2.8333549077312153e-07,1.9999764238794645e-07,2.3666458825270336e-07,3.903337831919392e-06,4.1000118168691793e-07,5.23331497485439e-07,4.900017908463875e-07
2,5.766652369250854e-07,4.599938013901313e-07,1.0899985985209544e-06,1.3233337085694075e-06,3.453332465142012e-06,4.0333252400159835e-07,3.3666534970204036e-07,1.0166647067914407e-06
5,2.7299994447578986e-06,1.3166611703733603e-06,2.7066698142637807e-06,2.223334740847349e-06,4.593327563876907e-06,4.2000319808721544e-07,5.299982149153947e-07,1.8899969290941955e-06
10,3.0699981531749168e-06,2.8899870812892913e-06,5.45667135156691e-06,7.703329902142287e-06,6.543334651117523e-06,6.566677863399188e-07,4.3666611115137737e-07,4.6199847323199115e-06
20,1.4733336865901946e-05,5.263334605842828e-06,1.1516663168246547e-05,1.004666555672884e-05,1.0969998159756263e-05,8.233357220888137e-07,5.100000028808912e-07,1.2453336967155338e-05
50,5.7116661143178744e-05,3.0410002606610456e-05,3.319333191029727e-05,2.822333093111714e-05,2.4996666858593623e-05,1.8033276622494062e-06,7.566666075338919e-07,3.899666480720043e-05
100,0.00022263333084993064,0.00011508000122072796,7.493333153737088e-05,5.829332900854449e-05,5.142333878514667e-05,3.0466646421700718e-06,1.2499978765845298e-06,8.390333193043867e-05
200,0.0009252000076230615,0.0004860033300550034,0.00018251332609603804,0.00013256666328137118,9.622333260873953e-05,5.3999964923908315e-06,1.9166715598354736e-06,0.0002483666699845344
500,0.0060977400067107135,0.0032848966618378955,0.0004904699996889879,0.0004355533397756517,0.00024462667061015965,1.3016661008199056e-05,6.136657126868764e-06,0.0007234099980754157
1000,0.027618616664161284,0.013291186664719134,0.0011563999908200155,0.0009548699910131593,0.0005178366632511218,2.920333839332064e-05,8.106672127420704e-06,0.001595210002657647
2000,0.11955444333531583,0.05654218666216669,0.0026181866705883294,0.002168586669722572,0.0010905166583446166,6.110667018219829e-05,1.4273329482724268e-05,0.003762656673400973
