n,bubble,insertion,merge,quick,radix(only non-negative),stalin,heap,communizm
0,2.4333324593802293e-07,1.900014467537403e-07,1.366677073140939e-07,2.0333488161365192e-07,1.433344247440497e-07,1.166675550242265e-07,1.133341963092486e-07,2.9333362666269144e-07
1,2.7000011565784613e-07,1.466677834590276e-07,1.100008375942707e-07,1.1999897348384062e-07,2.186661974216501e-06,2.4333324593802293e-07,2.566647405425707e-07,2.66668697198232e-07
2,3.9000102939705056e-07,2.73333474372824e-07,8.033355697989464e-07,9.533347717175881e-07,2.5433332969745e-06,2.8333355051775773e-07,2.3999988722304505e-07,6.73328759148717e-07
5,1.0100018698722125e-06,6.366695743054151e-07,2.1800127190848193e-06,2.1700029416630667e-06,4.266664230575164e-06,3.8333431196709473e-07,2.9666504512230557e-07,1.8133413201818864e-06
10,2.7166621293872596e-06,1.6433283841858308e-06,4.9733343378951154e-06,4.636653466150165e-06,7.0699975670625765e-06,5.566631443798542e-07,5.433355302860339e-07,4.640017868950963e-06
20,9.230010133857528e-06,7.906664783755939e-06,1.2293339629347126e-05,1.1140009155496955e-05,1.275999820791185e-05,8.40004455919067e-07,6.766659983744224e-07,1.1550002576162417e-05
50,5.541999513904254e-05,2.771666622720659e-05,3.296000068075955e-05,2.650666865520179e-05,2.4990005961929758e-05,1.4700034322837989e-06,7.000014496346314e-07,3.532333260712524e-05
100,0.00020937666607399782,0.00010774667219569286,7.464667432941497e-05,5.6933332234621045e-05,5.2999994174266855e-05,2.8933359620471794e-06,1.130000843356053e-06,8.414666323612134e-05
200,0.0008600833321300645,0.0004949333379045129,0.00017531000194139778,0.0001275766679706673,0.00010235333854022125,5.633329662183921e-06,1.9266619347035887e-06,0.00021967665913204352
500,0.0061887133381484695,0.0031778200005646794,0.0005161133342577765,0.0003881566672741125,0.0002667066582944244,1.4963330856213968e-05,3.976667843138178e-06,0.0006761266655909518
1000,0.02880402999968889,0.013388676660057778,0.0011740199949902793,0.0009167333308141678,0.0005886533355806023,3.272332833148539e-05,7.480000689004858e-06,0.00162998332719629
2000,0.12164645332571429,0.05857524999883026,0.0025628533350148548,0.002108436665730551,0.0010657566618950418,6.630000037451585e-05,1.6129990884413323e-05,0.0038377799986240766
