n,bubble,insertion,merge,quick,radix(only non-negative),stalin,heap,communizm
20,9.499999578110874e-06,5.900001269765198e-06,1.2200005585327744e-05,1.0500007192604244e-05,1.1600001016631722e-05,8.00006091594696e-07,4.00003045797348e-07,1.2099990271963179e-05
21,1.0599993402138352e-05,6.399990525096655e-06,1.3299999409355223e-05,1.09999964479357e-05,1.2199991033412516e-05,8.999923011288047e-07,4.00003045797348e-07,1.3299999409355223e-05
22,1.2199991033412516e-05,7.199996616691351e-06,1.3900003978051245e-05,1.1800002539530396e-05,1.309999788645655e-05,9.00006853044033e-07,4.00003045797348e-07,1.4300007023848593e-05
23,1.3199998647905886e-05,7.800001185387373e-06,1.5300000086426735e-05,1.2299991794861853e-05,1.3299999409355223e-05,9.00006853044033e-07,4.00003045797348e-07,1.4999997802078724e-05
24,1.4199991710484028e-05,8.000002708286047e-06,1.580000389367342e-05,1.309999788645655e-05,1.3500000932253897e-05,9.00006853044033e-07,4.999892553314567e-07,1.580000389367342e-05
25,1.4899997040629387e-05,8.800008799880743e-06,1.5900004655122757e-05,1.2999997125007212e-05,1.410000550094992e-05,9.999930625781417e-07,4.999892553314567e-07,1.68999977177009e-05
26,1.6299993149004877e-05,9.199997293762863e-06,1.68999977177009e-05,1.3800003216601908e-05,1.4700010069645941e-05,9.999930625781417e-07,4.00003045797348e-07,1.720000000204891e-05
27,1.7600003047846258e-05,9.700001101009548e-06,1.7700003809295595e-05,1.4899997040629387e-05,1.5199999324977398e-05,1.00000761449337e-06,4.999892553314567e-07,1.819999306462705e-05
28,1.8000006093643606e-05,1.0700008715502918e-05,1.8399994587525725e-05,1.4899997040629387e-05,1.5600002370774746e-05,1.00000761449337e-06,4.999892553314567e-07,1.889999839477241e-05
29,1.9800005247816443e-05,1.1800002539530396e-05,1.9399987650103867e-05,1.5600002370774746e-05,1.610000617802143e-05,1.100008375942707e-06,5.00003807246685e-07,1.930000144056976e-05
30,2.060001133941114e-05,1.2299991794861853e-05,1.9800005247816443e-05,1.650000922381878e-05,1.6600009985268116e-05,1.100008375942707e-06,5.00003807246685e-07,2.0699997548945248e-05
31,2.239999594166875e-05,1.3199998647905886e-05,2.1100000594742596e-05,1.679999695625156e-05,1.679999695625156e-05,1.100008375942707e-06,5.00003807246685e-07,2.1700005163438618e-05
32,2.36999912885949e-05,1.3800003216601908e-05,2.1900006686337292e-05,1.7400001524947584e-05,1.7800004570744932e-05,1.1999945854768157e-06,5.00003807246685e-07,2.2299995180219412e-05
33,2.5399989681318402e-05,1.440000778529793e-05,2.2799998987466097e-05,1.8400009139440954e-05,1.8499995348975062e-05,1.200009137392044e-06,5.00003807246685e-07,2.3500004317611456e-05
