n,1-pivot,2-pivot,3-pivot
10000,0.010950950018013828,0.007461650006007403,0.0061941999883856624
20000,0.02398935001110658,0.01625259999127593,0.013589800000772811
30000,0.03668644999561366,0.02503710000019055,0.02063189998443704
40000,0.05140560001018457,0.03541090001817793,0.02836989998468198
50000,0.0659219000081066,0.045535500001278706,0.035949650016846135
60000,0.08104140000068583,0.05485904999659397,0.0436729000066407
70000,0.09532049999688752,0.06560209998860955,0.051623000006657094
80000,0.10965029998624232,0.07560735000879504,0.05948089998855721
90000,0.1274760500091361,0.08777765001286753,0.0672152999904938
100000,0.14213120000204071,0.09862210000574123,0.07431155000813305
