metric,count,median,mean,stdev,min,max,q1,q3
BST insert random (s),3,0.17944120000174735,0.18243176666631675,0.014419446009575336,0.16974209999898449,0.19811199999821838,0.17459165000036592,0.18877659999998286
BST height random,3,40,42,3.4641016151377544,40,46,40.0,43.0
BST insert best (s),3,0.10842709999997169,0.10810323333619938,0.003122621846853129,0.10483130000648089,0.11105130000214558,0.10662920000322629,0.10973920000105863
BST height best,3,17,17,0.0,17,17,17.0,17.0
SortedSet insert random (s),3,0.11068320000777021,0.11034993333547997,0.0033287358666748363,0.10686709999572486,0.11349950000294484,0.10877515000174753,0.11209135000535753
SortedSet insert best (s),3,0.08620150000206195,0.08317326666535034,0.006807758026483844,0.07537679999950342,0.08794149999448564,0.08078915000078268,0.0870714999982738
BST remove random (s),3,0.24055499999667518,0.23673316666584773,0.009748236722534706,0.22565310000209138,0.24399139999877661,0.23310404999938328,0.2422731999977259
SortedSet remove random (s),3,0.10585300000093412,0.10569763333478477,0.003796235232918741,0.10182609999901615,0.10941380000440404,0.10383954999997513,0.10763340000266908
Ternary insert random (s),3,0.18717950000427663,0.18778780000381326,0.006284269594514223,0.18182979999983218,0.194354100007331,0.1845046500020544,0.19076680000580382
Ternary height random,3,30,29.333333333333332,1.1547005383792515,28,30,29.0,30.0
Ternary insert best (s),3,0.12424109999847133,0.13165173332769578,0.019991399910116864,0.11642379999102559,0.15429029999359045,0.12033244999474846,0.1392656999960309
Ternary height best,3,11,11,0.0,11,11,11.0,11.0
AVL insert random (s),3,1.0270739999978105,1.02708139999595,0.02040070100588241,1.00668439999572,1.0474857999943197,1.0168791999967652,1.037279899996065
AVL height random,3,20,20,0.0,20,20,20.0,20.0
AVL insert best (s),3,0.8805169999977807,0.8884288999979617,0.02308572040568181,0.8703394000040134,0.914430299992091,0.875428200000897,0.8974736499949358
AVL height best,3,17,17,0.0,17,17,17.0,17.0
