trial,n,bst_insert_random_s,bst_height_random,bst_insert_best_s,bst_height_best,sortedset_insert_random_s,sortedset_insert_best_s,bst_remove_random_s,sortedset_remove_random_s,ternary_insert_random_s,ternary_height_random,ternary_insert_best_s,ternary_height_best,avl_insert_random_s,avl_height_random,avl_insert_best_s,avl_height_best
1,131071,0.1938127000030363,39,0.12452570001187269,17,0.11896999999589752,0.09059269999852404,0.2532313999981852,0.14152329998614732,0.2085256999998819,28,0.13804269999673124,11,1.1758105999906547,20,0.9568464000039967,17
2,131071,0.2118594000057783,41,0.1189989999984391,17,0.12170899999910034,0.08902850000595208,0.2540782000141917,0.12527180000324734,0.21322190000500996,31,0.133729699999094,11,1.1724973000091268,21,1.0349394000077154,17
3,131071,0.24108359999081586,40,0.129394699994009,17,0.12669459999597166,0.09722330000658985,0.2747234999987995,0.12417789999744855,0.21082550000573974,28,0.17997250000189524,11,1.143055299995467,20,0.9455531999992672,17
4,131071,0.1986637000081828,40,0.12371909999637865,17,0.12494390000938438,0.08778819999133702,0.2664717000006931,0.11946960000204854,0.21156530000735074,32,0.16767419999814592,11,1.1485123000020394,20,0.9781273999979021,17
5,131071,0.21410919999470934,40,0.12192210000648629,17,0.12260329999844544,0.09300800001074094,0.28100990000530146,0.11518249999789987,0.22250479999638628,30,0.1488208999944618,11,1.189729499994428,21,1.0166556000040146,17
6,131071,0.20996320000267588,43,0.12082199999713339,17,0.12960529999691062,0.09836109999741893,0.27729129999352153,0.12369130000297446,0.22877459999290295,31,0.1745420999941416,11,1.1625742000032915,20,0.9900899000058416,17
7,131071,0.19985859999724198,44,0.1217906999954721,17,0.12363570000161417,0.09337300001061521,0.27075429999968037,0.13277869999001268,0.20216679999430198,30,0.13583010000002105,11,1.1220719999982975,21,0.9680813000013586,17
8,131071,0.20900289999553934,42,0.13202430000819732,17,0.12147110000660177,0.08725260000210255,0.2716975000075763,0.12157119999756105,0.21246629999950528,31,0.1682618999911938,11,1.1369144000054803,20,0.9519957000011345,17
9,131071,0.20449679999728687,42,0.12427369999932125,17,0.12340850000327919,0.08936679999169428,0.2666023999918252,0.12026900000637397,0.21640499999921303,29,0.13463830000546295,11,1.1537918000103673,20,0.9208811999997124,17
10,131071,0.19391450000694022,39,0.11836769999354146,17,0.12170839999453165,0.08986789999471512,0.26840629999060184,0.12247089999436866,0.1994465999887325,29,0.13465809999615885,11,1.1247113999997964,21,0.9429551999928663,17
11,131071,0.23296660000050906,39,0.12532829999690875,17,0.1313843999960227,0.09485350000613835,0.26235239999368787,0.12703220000548754,0.2128552999929525,28,0.17695829999865964,11,1.1435466000111774,20,1.0059648000024026,17
12,131071,0.2124887999962084,41,0.12276339999516495,17,0.12390500000037719,0.08961710000585299,0.2681780999992043,0.11618940001062583,0.2139329999918118,29,0.13547839999955613,11,1.139803900005063,20,0.9547759999986738,17
