n,bubble,insertion,merge,quick,radix(only non-negative),stalin,heap,communizm
0,1.3299999409355222e-06,1.5899999804484347e-06,1.0066660858380298e-06,1.716666641489913e-06,1.3699997604514162e-06,8.699998337154587e-07,7.299997378140688e-07,1.136666105594486e-06
1,2.5333332208295665e-07,1.433334546163678e-07,1.0333315003663301e-07,1.2666617597763736e-07,2.1766672337738174e-06,2.466666046530008e-07,2.7000011565784613e-07,2.833330654539168e-07
2,3.966658065716426e-07,3.166666526036958e-07,1.9800010098454853e-06,2.02999945031479e-06,2.7333303781536717e-06,3.0666706152260303e-07,2.766673181516429e-07,1.7433325410820543e-06
5,1.0799999775675437e-06,7.23333020384113e-07,2.30999964211757e-06,2.3266654655647775e-06,4.299999757980307e-06,4.066663677804172e-07,3.066665764587621e-07,1.8999989454944929e-06
10,2.8366664385733506e-06,1.823332665177683e-06,1.7796665876327703e-05,5.103332417396207e-06,7.300000288523734e-06,6.100017344579101e-07,3.7333520594984295e-07,5.056667335641881e-06
20,3.0496666537752994e-05,5.936666275374591e-06,1.798333153904726e-05,1.0776666749734432e-05,1.237333247748514e-05,8.899985308138032e-07,5.033337705147763e-07,1.2606665162214389e-05
50,6.946666593042513e-05,4.489666656202947e-05,5.2100000903010366e-05,3.851666697300971e-05,3.3696667621067415e-05,2.4733322788961233e-06,1.926665330150475e-06,4.848333386083444e-05
100,0.00028748666615380594,0.00019727999848934513,0.0001233266656830286,9.65166672055299e-05,7.927333354018629e-05,4.2366673975872495e-06,1.6033319601168235e-06,0.00012051666756936659
200,0.0014047766657313333,0.0007007333338454676,0.0002393100003246218,0.0001757833325730947,0.0001254733336584953,7.4633334103661275e-06,2.553330462736388e-06,0.00028495999868027866
500,0.0087180866675529,0.004578509999070472,0.0007194100006017834,0.0005915266660546574,0.0003591633333902185,1.9483331319255132e-05,5.993334343656897e-06,0.0009011899984519308
1000,0.037487746666010936,0.018583540000933377,0.001538736667134799,0.001281456665310543,0.0006330866662513775,4.179666721029207e-05,1.1376666952855885e-05,0.002196423332497943
2000,0.15575517333248476,0.07901863666629652,0.004031449999699058,0.0032112366670238165,0.0015772533341078087,7.788666941147919e-05,2.3706666252110153e-05,0.005149770001298748
